product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,reserved,available,in_stock,should_be_gone,brand_id,brand_name,brand_url,product_material,product_color,price_usd,seller_price,seller_earning,seller_badge,has_cross_border_fees,buyers_fees,warehouse_name,seller_id,seller_username,seller_country,seller_products_sold,seller_num_products_listed,seller_community_rank,seller_num_followers,seller_pass_rate,price_range,conversion_rate,shipping_days
30714330,Silk scarf,Silk scarf Vivienne Westwood Multicolour in Silk ,Women,women accessories,Autumn / Winter,"Never worn, with tag",11,0,0,1,0,0,273,vivienne westwood,http://vestiairecollective.com/vivienne-westwood/,Silk,multicolour,208.01,173.34,168.14,Trusted,1,34.67,Crawley,17799682,tedia17799682,united kingdom,18,19,0,39,77.0,low,0.947368421,1
42905629,Wool coat,Wool coat Dolce & Gabbana Black size 38 IT in Wool ,Women,women clothing,Autumn / Winter,Never worn,2,0,0,1,0,0,47,dolce & gabbana,http://vestiairecollective.com/dolce-gabbana/,Wool,black,985.34,821.12,714.37,Expert,1,164.22,Tourcoing,18452871,AgatheG,france,53,16,0,40,90.0,medium,3.3125,3
17159082,Silk neckerchief,Silk neckerchief Max Mara Green in Silk ,Women,women accessories,All seasons,"Never worn, with tag",44,0,0,1,0,0,296,max mara,http://vestiairecollective.com/max-mara/,Silk,green,71.83,59.86,39.91,Expert,1,11.97,Tourcoing,9917898,patricija9917898,lithuania,529,330,1261,307,94.0,very_low,1.603030303,1
42971374,Spring Summer 2021 jumpsuit,Spring summer 2021 jumpsuit Sandro Beige size 36 FR in Cotton ,Women,women clothing,All seasons,"Never worn, with tag",25,0,0,1,0,0,23,sandro,http://vestiairecollective.com/sandro/,Cotton,beige,173.81,144.84,123.11,Common,1,28.97,Tourcoing,18746260,tetma18746260,lithuania,1038,707,0,391,95.0,low,1.468175389,1
28666333,Gloves,Gloves Prada Black size 7.5 Inches in Suede ,Women,women accessories,Autumn / Winter,Very good condition,4,0,0,1,0,0,60,prada,http://vestiairecollective.com/prada/,Suede,black,238.99,199.16,173.26,Expert,1,39.83,Tourcoing,2065659,cristiana6,italy,298,221,2470,347,0.0,low,1.34841629,1
21942219,Carr̩ G̩ant silk 140 scarf,Carr̩ g̩ant silk 140 scarf Herm̬s Multicolour in Cotton ,Women,women accessories,Autumn / Winter,Good condition,1,0,0,1,0,0,14,herm̬s,http://vestiairecollective.com/hermes/,Cotton,multicolour,782.82,652.35,534.93,Trusted,1,130.47,Hong Kong,9648295,thehula_com,hong kong,361,1172,0,1021,68.0,medium,0.308020478,1
41314267,Wool dufflecoat,Wool dufflecoat G STAR RAW Blue size M International in Wool ,Men,men clothing,Autumn / Winter,Good condition,3,0,0,1,0,0,7729,g star raw,http://vestiairecollective.com/g-star-raw/,Wool,blue,106.07,88.4,71.94,Trusted,1,17.68,Tourcoing,7802756,maarten7802756,netherlands,18,3,105913,31,100.0,low,6.0,1
42552823,T-shirt,T,Men,men clothing,All seasons,Never worn,3,1,0,1,0,0,14,herm̬s,http://vestiairecollective.com/hermes/,Cotton,green,396.57,330.47,320.56,Expert,0,23.97,Crawley,10725512,munjakorn10725512,united kingdom,261,133,1795,707,90.0,low,1.962406015,1
41283073,Shirt,Shirt Dries Van Noten Turquoise size S International in Cotton ,Men,men clothing,All seasons,"Never worn, with tag",5,0,0,1,0,0,217,dries van noten,http://vestiairecollective.com/dries-van-noten/,Cotton,turquoise,511.2,426.0,349.32,Common,1,85.2,Crawley,14020636,instalucaszarkov,united kingdom,5,6,679842,50,66.0,medium,0.833333333,1
39332224,Straight jeans,Straight jeans Acne Studios Grey size 32 US in Cotton ,Men,men clothing,All seasons,Never worn,4,0,0,1,0,0,6027,acne studios,http://vestiairecollective.com/acne-studios/,Cotton,grey,101.76,84.8,66.09,Common,1,16.96,Crawley,15322244,SydneySellsUnique,united kingdom,2181,2560,2371,1409,95.0,low,0.851953125,1
40135537,Sweatshirt,Sweatshirt Kenzo Black size XS International in Cotton ,Men,men clothing,All seasons,Very good condition,5,0,0,1,0,0,209,kenzo,http://vestiairecollective.com/kenzo/,Cotton,black,70.29,58.58,44.73,Expert,1,11.72,Tourcoing,11050643,pat11050643,spain,154,223,34354,164,90.0,very_low,0.69058296,1
24965707,Shearling gloves,Shearling gloves Ugg Black size Not specified International in Shearling ,Women,women accessories,Autumn / Winter,"Never worn, with tag",19,0,0,1,0,0,327,ugg,http://vestiairecollective.com/ugg/,Shearling,black,40.7,37.0,34.0,Common,1,3.7,Brooklyn,17678487,beatrice17678487,united states,52,208,0,64,70.0,very_low,0.25,3
42646248,Silk trousers,Silk trousers Chanel Black size 36 FR in Silk ,Women,women clothing,All seasons,Good condition,0,0,0,1,0,0,50,chanel,http://vestiairecollective.com/chanel/,Silk,black,319.5,266.25,231.64,Expert,1,53.25,Tourcoing,22716292,natalia22716292,france,6,25,0,11,100.0,low,0.24,1
42619139,Wool jumpsuit,Wool jumpsuit Alberta Ferretti Grey size 36 FR in Wool ,Women,women clothing,Autumn / Winter,Never worn,4,0,0,1,0,0,749,alberta ferretti,http://vestiairecollective.com/alberta-ferretti/,Wool,grey,328.45,273.71,238.12,Trusted,1,54.74,Tourcoing,5285349,cmgf888,france,9,3,292065,122,88.0,low,3.0,3
33510448,Cloth low trainers,Cloth low trainers Palm Angels Black size 43 EU in Cloth ,Men,men shoes,All seasons,Good condition,12,0,0,1,0,0,8687,palm angels,http://vestiairecollective.com/palm-angels/,Cloth,black,158.47,132.06,114.89,Common,1,26.41,Tourcoing,8816669,cosimo8816669,italy,98,21,25067,110,88.0,low,4.666666667,1
